Stadtteil Name,Mietpreis
Pempelfort,1385
Düsseltal,1295
Bilk,1293
Friedrichstadt,1261
Stadtmitte,1290
Flingern Nord,1282
Unterbilk,1350
Oberkassel,1645
Oberbilk,1244
Derendorf,1220
Golzheim,1268
Heerdt,1238
Unterrath,1216
Eller,1119
Gerresheim,1116
Benrath,1147
Wersten,1211
Rath,1096
Mörsenbroich,1184
Hassels,1064
Flingern Süd,1212
Kaiserswerth,1322
Wittlaer,1279
Lörick,1300
Ludenberg,1176
Garath,1075
Unterbach,1181
Holthausen,1116
Angermund,1209
Niederkassel,1411
Grafenberg,1271
Altstadt,1612
Urdenbach,1105
Lierenfeld,1113
Vennhausen,1120
Lohausen,1111
Stockum,1189
Hamm,1191
Carlstadt,1513
Hafen,1164
Reisholz,1102
Lichtenbroich,1053
Hellerhof,1072
Flehe,1254
Kalkum,1290
Hubbelrath,1204
Knittkuhl,990
Himmelgeist,1162
Itter,1128
Volmerswerth,1228
